img_path,table_mask,col_mask,original_height,original_width,hasTable,table_count,col_count,table_bboxes,col_bboxes
marmot_processed\image_v2\10.1.1.1.2000_4.jpg,marmot_processed\table_mask\10.1.1.1.2000_4_table_mask.png,marmot_processed\col_mask\10.1.1.1.2000_4_col_mask.png,1008,768,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2004_4.jpg,marmot_processed\table_mask\10.1.1.1.2004_4_table_mask.png,marmot_processed\col_mask\10.1.1.1.2004_4_col_mask.png,1123,793,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2004_5.jpg,marmot_processed\table_mask\10.1.1.1.2004_5_table_mask.png,marmot_processed\col_mask\10.1.1.1.2004_5_col_mask.png,1123,793,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2005_12.jpg,marmot_processed\table_mask\10.1.1.1.2005_12_table_mask.png,marmot_processed\col_mask\10.1.1.1.2005_12_col_mask.png,1056,816,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2005_13.jpg,marmot_processed\table_mask\10.1.1.1.2005_13_table_mask.png,marmot_processed\col_mask\10.1.1.1.2005_13_col_mask.png,1056,816,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2005_4.jpg,marmot_processed\table_mask\10.1.1.1.2005_4_table_mask.png,marmot_processed\col_mask\10.1.1.1.2005_4_col_mask.png,1056,816,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2005_7.jpg,marmot_processed\table_mask\10.1.1.1.2005_7_table_mask.png,marmot_processed\col_mask\10.1.1.1.2005_7_col_mask.png,1056,816,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2007_3.jpg,marmot_processed\table_mask\10.1.1.1.2007_3_table_mask.png,marmot_processed\col_mask\10.1.1.1.2007_3_col_mask.png,1123,793,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2007_6.jpg,marmot_processed\table_mask\10.1.1.1.2007_6_table_mask.png,marmot_processed\col_mask\10.1.1.1.2007_6_col_mask.png,1123,793,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2007_7.jpg,marmot_processed\table_mask\10.1.1.1.2007_7_table_mask.png,marmot_processed\col_mask\10.1.1.1.2007_7_col_mask.png,1123,793,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2007_9.jpg,marmot_processed\table_mask\10.1.1.1.2007_9_table_mask.png,marmot_processed\col_mask\10.1.1.1.2007_9_col_mask.png,1123,793,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2011_2.jpg,marmot_processed\table_mask\10.1.1.1.2011_2_table_mask.png,marmot_processed\col_mask\10.1.1.1.2011_2_col_mask.png,1008,768,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2011_4.jpg,marmot_processed\table_mask\10.1.1.1.2011_4_table_mask.png,marmot_processed\col_mask\10.1.1.1.2011_4_col_mask.png,1008,768,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2016_12.jpg,marmot_processed\table_mask\10.1.1.1.2016_12_table_mask.png,marmot_processed\col_mask\10.1.1.1.2016_12_col_mask.png,1121,793,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2016_8.jpg,marmot_processed\table_mask\10.1.1.1.2016_8_table_mask.png,marmot_processed\col_mask\10.1.1.1.2016_8_col_mask.png,1121,793,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2020_15.jpg,marmot_processed\table_mask\10.1.1.1.2020_15_table_mask.png,marmot_processed\col_mask\10.1.1.1.2020_15_col_mask.png,1123,793,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2020_16.jpg,marmot_processed\table_mask\10.1.1.1.2020_16_table_mask.png,marmot_processed\col_mask\10.1.1.1.2020_16_col_mask.png,1123,793,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2021_4.jpg,marmot_processed\table_mask\10.1.1.1.2021_4_table_mask.png,marmot_processed\col_mask\10.1.1.1.2021_4_col_mask.png,1008,768,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2021_5.jpg,marmot_processed\table_mask\10.1.1.1.2021_5_table_mask.png,marmot_processed\col_mask\10.1.1.1.2021_5_col_mask.png,1008,768,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2022_10.jpg,marmot_processed\table_mask\10.1.1.1.2022_10_table_mask.png,marmot_processed\col_mask\10.1.1.1.2022_10_col_mask.png,867,573,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2022_4.jpg,marmot_processed\table_mask\10.1.1.1.2022_4_table_mask.png,marmot_processed\col_mask\10.1.1.1.2022_4_col_mask.png,867,573,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2022_6.jpg,marmot_processed\table_mask\10.1.1.1.2022_6_table_mask.png,marmot_processed\col_mask\10.1.1.1.2022_6_col_mask.png,867,573,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2024_8.jpg,marmot_processed\table_mask\10.1.1.1.2024_8_table_mask.png,marmot_processed\col_mask\10.1.1.1.2024_8_col_mask.png,1123,795,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2025_4.jpg,marmot_processed\table_mask\10.1.1.1.2025_4_table_mask.png,marmot_processed\col_mask\10.1.1.1.2025_4_col_mask.png,1056,792,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2026_2.jpg,marmot_processed\table_mask\10.1.1.1.2026_2_table_mask.png,marmot_processed\col_mask\10.1.1.1.2026_2_col_mask.png,1123,794,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2027_2.jpg,marmot_processed\table_mask\10.1.1.1.2027_2_table_mask.png,marmot_processed\col_mask\10.1.1.1.2027_2_col_mask.png,1056,816,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2028_10.jpg,marmot_processed\table_mask\10.1.1.1.2028_10_table_mask.png,marmot_processed\col_mask\10.1.1.1.2028_10_col_mask.png,1123,793,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2028_8.jpg,marmot_processed\table_mask\10.1.1.1.2028_8_table_mask.png,marmot_processed\col_mask\10.1.1.1.2028_8_col_mask.png,1123,793,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2032_3.jpg,marmot_processed\table_mask\10.1.1.1.2032_3_table_mask.png,marmot_processed\col_mask\10.1.1.1.2032_3_col_mask.png,1123,794,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2036_4.jpg,marmot_processed\table_mask\10.1.1.1.2036_4_table_mask.png,marmot_processed\col_mask\10.1.1.1.2036_4_col_mask.png,1056,816,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2037_3.jpg,marmot_processed\table_mask\10.1.1.1.2037_3_table_mask.png,marmot_processed\col_mask\10.1.1.1.2037_3_col_mask.png,1056,816,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2040_14.jpg,marmot_processed\table_mask\10.1.1.1.2040_14_table_mask.png,marmot_processed\col_mask\10.1.1.1.2040_14_col_mask.png,1056,816,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2040_29.jpg,marmot_processed\table_mask\10.1.1.1.2040_29_table_mask.png,marmot_processed\col_mask\10.1.1.1.2040_29_col_mask.png,1056,816,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2048_17.jpg,marmot_processed\table_mask\10.1.1.1.2048_17_table_mask.png,marmot_processed\col_mask\10.1.1.1.2048_17_col_mask.png,1056,816,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2048_18.jpg,marmot_processed\table_mask\10.1.1.1.2048_18_table_mask.png,marmot_processed\col_mask\10.1.1.1.2048_18_col_mask.png,1056,816,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2048_25.jpg,marmot_processed\table_mask\10.1.1.1.2048_25_table_mask.png,marmot_processed\col_mask\10.1.1.1.2048_25_col_mask.png,1056,816,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2051_3.jpg,marmot_processed\table_mask\10.1.1.1.2051_3_table_mask.png,marmot_processed\col_mask\10.1.1.1.2051_3_col_mask.png,1008,768,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2052_5.jpg,marmot_processed\table_mask\10.1.1.1.2052_5_table_mask.png,marmot_processed\col_mask\10.1.1.1.2052_5_col_mask.png,1056,816,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2059_4.jpg,marmot_processed\table_mask\10.1.1.1.2059_4_table_mask.png,marmot_processed\col_mask\10.1.1.1.2059_4_col_mask.png,1123,793,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2059_6.jpg,marmot_processed\table_mask\10.1.1.1.2059_6_table_mask.png,marmot_processed\col_mask\10.1.1.1.2059_6_col_mask.png,1123,793,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2063_12.jpg,marmot_processed\table_mask\10.1.1.1.2063_12_table_mask.png,marmot_processed\col_mask\10.1.1.1.2063_12_col_mask.png,964,651,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2063_16.jpg,marmot_processed\table_mask\10.1.1.1.2063_16_table_mask.png,marmot_processed\col_mask\10.1.1.1.2063_16_col_mask.png,964,651,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2063_8.jpg,marmot_processed\table_mask\10.1.1.1.2063_8_table_mask.png,marmot_processed\col_mask\10.1.1.1.2063_8_col_mask.png,964,651,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2063_9.jpg,marmot_processed\table_mask\10.1.1.1.2063_9_table_mask.png,marmot_processed\col_mask\10.1.1.1.2063_9_col_mask.png,964,651,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2064_3.jpg,marmot_processed\table_mask\10.1.1.1.2064_3_table_mask.png,marmot_processed\col_mask\10.1.1.1.2064_3_col_mask.png,1056,816,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2065_4.jpg,marmot_processed\table_mask\10.1.1.1.2065_4_table_mask.png,marmot_processed\col_mask\10.1.1.1.2065_4_col_mask.png,1056,816,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2069_2.jpg,marmot_processed\table_mask\10.1.1.1.2069_2_table_mask.png,marmot_processed\col_mask\10.1.1.1.2069_2_col_mask.png,1056,816,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2072_3.jpg,marmot_processed\table_mask\10.1.1.1.2072_3_table_mask.png,marmot_processed\col_mask\10.1.1.1.2072_3_col_mask.png,1008,768,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2076_38.jpg,marmot_processed\table_mask\10.1.1.1.2076_38_table_mask.png,marmot_processed\col_mask\10.1.1.1.2076_38_col_mask.png,1056,816,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2076_97.jpg,marmot_processed\table_mask\10.1.1.1.2076_97_table_mask.png,marmot_processed\col_mask\10.1.1.1.2076_97_col_mask.png,1056,816,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2077_3.jpg,marmot_processed\table_mask\10.1.1.1.2077_3_table_mask.png,marmot_processed\col_mask\10.1.1.1.2077_3_col_mask.png,1056,816,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2077_5.jpg,marmot_processed\table_mask\10.1.1.1.2077_5_table_mask.png,marmot_processed\col_mask\10.1.1.1.2077_5_col_mask.png,1056,816,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2077_6.jpg,marmot_processed\table_mask\10.1.1.1.2077_6_table_mask.png,marmot_processed\col_mask\10.1.1.1.2077_6_col_mask.png,1056,816,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2078_2.jpg,marmot_processed\table_mask\10.1.1.1.2078_2_table_mask.png,marmot_processed\col_mask\10.1.1.1.2078_2_col_mask.png,1056,816,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2079_2.jpg,marmot_processed\table_mask\10.1.1.1.2079_2_table_mask.png,marmot_processed\col_mask\10.1.1.1.2079_2_col_mask.png,1056,816,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2079_3.jpg,marmot_processed\table_mask\10.1.1.1.2079_3_table_mask.png,marmot_processed\col_mask\10.1.1.1.2079_3_col_mask.png,1056,816,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2080_4.jpg,marmot_processed\table_mask\10.1.1.1.2080_4_table_mask.png,marmot_processed\col_mask\10.1.1.1.2080_4_col_mask.png,1008,768,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2081_2.jpg,marmot_processed\table_mask\10.1.1.1.2081_2_table_mask.png,marmot_processed\col_mask\10.1.1.1.2081_2_col_mask.png,1123,793,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2081_3.jpg,marmot_processed\table_mask\10.1.1.1.2081_3_table_mask.png,marmot_processed\col_mask\10.1.1.1.2081_3_col_mask.png,1123,793,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2082_2.jpg,marmot_processed\table_mask\10.1.1.1.2082_2_table_mask.png,marmot_processed\col_mask\10.1.1.1.2082_2_col_mask.png,1056,816,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2084_22.jpg,marmot_processed\table_mask\10.1.1.1.2084_22_table_mask.png,marmot_processed\col_mask\10.1.1.1.2084_22_col_mask.png,1056,816,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2084_25.jpg,marmot_processed\table_mask\10.1.1.1.2084_25_table_mask.png,marmot_processed\col_mask\10.1.1.1.2084_25_col_mask.png,1056,816,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2085_2.jpg,marmot_processed\table_mask\10.1.1.1.2085_2_table_mask.png,marmot_processed\col_mask\10.1.1.1.2085_2_col_mask.png,1056,816,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2085_4.jpg,marmot_processed\table_mask\10.1.1.1.2085_4_table_mask.png,marmot_processed\col_mask\10.1.1.1.2085_4_col_mask.png,1056,816,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2086_13.jpg,marmot_processed\table_mask\10.1.1.1.2086_13_table_mask.png,marmot_processed\col_mask\10.1.1.1.2086_13_col_mask.png,1123,793,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2086_14.jpg,marmot_processed\table_mask\10.1.1.1.2086_14_table_mask.png,marmot_processed\col_mask\10.1.1.1.2086_14_col_mask.png,1123,793,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2087_18.jpg,marmot_processed\table_mask\10.1.1.1.2087_18_table_mask.png,marmot_processed\col_mask\10.1.1.1.2087_18_col_mask.png,1056,816,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2089_4.jpg,marmot_processed\table_mask\10.1.1.1.2089_4_table_mask.png,marmot_processed\col_mask\10.1.1.1.2089_4_col_mask.png,1123,794,0,0,0,[],[]
marmot_processed\image_v2\10.1.1.1.2089_5.jpg,marmot_processed\table_mask\10.1.1.1.2089_5_table_mask.png,marmot_processed\col_mask\10.1.1.1.2089_5_col_mask.png,1123,794,0,0,0,[],[]
